building_or_title,address,price,bedrooms,bathrooms,sqft,source_url,method,address_used_for_geocoding,latitude,longitude,zip_code,distance_from_uiuc_miles
"ath View Availability 108 E. Daniel St $869 - $1,013 /bed $2,025 - $3,600 /mth 2 - 4 bed 2 - 3 bath View Availability Walking Distance to th",,695,4.0,3.0,,https://www.greenstrealty.com/properties,regex_context,"108 E. Daniel St, Champaign, IL",40.1081934,-88.2377439,61820.0,0.7
"w Availability 108 E. Daniel St $869 - $1,013 /bed $2,025 - $3,600 /mth 2 - 4 bed 2 - 3 bath View Availability Walking Distance to the Quad ",,775,4.0,3.0,,https://www.greenstrealty.com/properties,regex_context,"108 E. Daniel St, Champaign, IL",40.1081934,-88.2377439,61820.0,0.7
ilability Walking Distance to the Quad 108 W. Green St $695 - $775 /bed $695 - $775 /mth studio - 1 bed 1 bath View Availability SECURE BUIL,,792,0.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"108 W. Green St, Champaign, IL",40.1104198,-88.2444437,61820.0,1.08
"View Availability SECURE BUILDING IN A GREAT LOCATION 109 E. John St $792 /bed $2,375 /mth 3 bed 1.5 bath View Availability Available August",,750,3.0,1.5,,https://www.greenstrealty.com/properties,regex_context,"109 E. John St, Champaign, IL",40.1087284,-88.2374953,61820.0,0.72
"5 /bed $1,195 - $1,650 /mth 1 - 2 bed 1 - 1.5 bath View Availability CLOSE TO ENGINEERING! 1107 Broadmoor Dr. $483 /bed $1,450 /mth 3 bed 2 ",,675,2.0,1.5,,https://www.greenstrealty.com/properties,regex_context,"1107 Broadmoor Dr, Champaign, IL",40.092521,-88.263836,61821.0,2.05
"CLOSE TO DOWNTOWN CHAMPAGIN 1401 Hollycrest Dr. $0 /bed $1,350 /mth 3 bed 1 bath View Availability 1415 Cambridge $0 /bed $1,250 /mth 3 bed ",,825,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1401 Hollycrest Dr, Champaign, IL",40.100865,-88.279953,61821.0,2.8
"ility 1503 Dawson Drive $0 /bed $1,595 /mth 3 bed 2 bath View Availability 1507 W. John St. $375 /bed $1,500 /mth 4 bed 2 bath View Availabi",,598,3.0,2.0,,https://www.greenstrealty.com/properties,regex_context,"1503 Dawson Drive, Champaign, IL",40.0993774,-88.2535002,61820.0,1.41
"View Availability 1706 W. White St. $0 /bed $1,100 /mth 3 bed 1 bath View Availability 1714 Crescent Drive $532 /bed $1,595 /mth 3 bed 1 bat",,517,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1706 W. White St, Champaign, IL",40.1147093,-88.2751149,61821.0,2.69
"h View Availability 1714 Crescent Drive $532 /bed $1,595 /mth 3 bed 1 bath View Availability 1717 Coronado Drive $517 /bed $1,550 /mth 3 bed",,450,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1714 Crescent Drive, Champaign, IL",40.095991,-88.2830095,61821.0,2.99
"ilability 1714 Crescent Drive $532 /bed $1,595 /mth 3 bed 1 bath View Availability 1717 Coronado Drive $517 /bed $1,550 /mth 3 bed 2 bath Vi",,900,3.0,1.0,,https://www.greenstrealty.com/properties,regex_context,"1714 Crescent Drive, Champaign, IL",40.095991,-88.2830095,61821.0,2.99
